N,S,M,L,XL
1,0.29561859996642603,0.29434722397079188,0.29525807805287452,0.29416701636592529
2,0.43646130602652344,0.43648495530655923,0.44120856063785147,0.44305497272345784
3,0.57445022662413969,0.58088883293465943,0.58019303399076794,0.58099034830046159
4,0.6840691623300319,0.69230769230769229,0.6873688627780109,0.68745279060008391
5,0.76884337753902976,0.77602920810776788,0.77213596307175825,0.77159043222828372
6,0.81954003693134125,0.8273951907339796,0.82484263533361313,0.82484263533361313
7,0.83918079570253479,0.84703512526753111,0.84574066302979434,0.84733529164918175
8,0.87460130938391811,0.88505602417222717,0.88367603860679811,0.88820814099874112
9,0.89944602988081246,0.90242981241344578,0.90532941670163658,0.90939991607217796
10,0.91069330199764986,0.91917411557346096,0.91430969366344939,0.92563994964330676
11,0.92227631358066142,0.92949767090519952,0.93000419639110365,0.93634074695761649
12,0.93419506462984725,0.93893994712325313,0.93596307175828786,0.94628619387326895
13,0.93822393822393824,0.9405766083343825,0.94225765841376419,0.95178346621905163
14,0.93906328688937379,0.94561248898401107,0.94955937893411668,0.95681913554343268
15,0.94225281181802922,0.94624197406521471,0.94872010071338653,0.95900125891733112
16,0.94342789994963905,0.9477527382601032,0.95190935795216114,0.96067981535879143
17,0.94258855128420349,0.94724915019514033,0.95148971884179601,0.96156105749055809
18,0.94359576968272618,0.94976709051995467,0.95224506924045316,0.9616869492236676
19,0.94426724861507472,0.9500188845524361,0.95274863617289129,0.96139320184641208
20,0.94275642101729062,0.95090016366612107,0.95325220310532943,0.96088963491397394
21,0.94258855128420349,0.95140375173108394,0.95249685270667228,0.96030214015946291
22,0.94309216048346478,0.94863401737378827,0.95224506924045316,0.96009232060428029
23,0.94460298808124898,0.94938939947123258,0.95316827528325643,0.96013428451531679
24,0.94460298808124898,0.94913760543875114,0.95207721359630715,0.96046999580360892
25,0.94460298808124898,0.95027067858491754,0.95190935795216114,0.95992446496013428
26,0.94460298808124898,0.94888581140626971,0.95274863617289129,0.95979857322702478
27,0.94493872754742325,0.95064836963363963,0.95190935795216114,0.95958875367184227
28,0.94493872754742325,0.95027067858491754,0.95258078052874529,0.95971464540495177
29,0.94309216048346478,0.94813042930882541,0.95274863617289129,0.95933697020562314
30,0.94359576968272618,0.95052247261739897,0.95190935795216114,0.95921107847251363
31,0.94376363941581332,0.94951529648747324,0.95190935795216114,0.95958875367184227
32,0.94359576968272618,0.94901170842251037,0.95073436844313886,0.95921107847251363
33,0.94577807621285881,0.94875991439002894,0.95157364666386912,0.95971464540495177
34,0.94460298808124898,0.9503965756011582,0.95182543013008813,0.95963071758287877
35,0.94258855128420349,0.94913760543875114,0.95224506924045316,0.95946286193873265
36,0.94477085781433612,0.94964119350371401,0.9528325639949643,0.95971464540495177
37,0.94426724861507472,0.9500188845524361,0.95258078052874529,0.95975660931598827
38,0.94426724861507472,0.9500188845524361,0.95232899706252627,0.96072177926982794
39,0.94376363941581332,0.94951529648747324,0.95207721359630715,0.95975660931598827
40,0.94225281181802922,0.94938939947123258,0.95174150230801513,0.95967268149391527
41,0.94275642101729062,0.94976709051995467,0.95199328577423414,0.95958875367184227
42,0.94409937888198758,0.94888581140626971,0.95232899706252627,0.95975660931598827
43,0.94409937888198758,0.94913760543875114,0.951405791019723,0.96000839278220729
44,0.94577807621285881,0.94825632632506607,0.951405791019723,0.95971464540495177
45,0.94460298808124898,0.94976709051995467,0.95224506924045316,0.95837180025178348
46,0.94460298808124898,0.94938939947123258,0.95224506924045316,0.96084767100293744
47,0.94409937888198758,0.94964119350371401,0.95174150230801513,0.95942089802769615
48,0.94527446701359741,0.9500188845524361,0.95258078052874529,0.96051195971464542
49,0.94460298808124898,0.94901170842251037,0.95174150230801513,0.95979857322702478
50,0.94510659728051027,0.9503965756011582,0.95174150230801513,0.96042803189257242
51,0.94460298808124898,0.94913760543875114,0.95207721359630715,0.96097356273604695
52,0.94309216048346478,0.95052247261739897,0.95165757448594213,0.95979857322702478
53,0.94242068155111636,0.94964119350371401,0.95300041963911042,0.95984053713806128
54,0.940574114487158,0.95064836963363963,0.95216114141838015,0.9601762484263533
55,0.94376363941581332,0.94964119350371401,0.95199328577423414,0.95992446496013428
56,0.94275642101729062,0.95052247261739897,0.95274863617289129,0.95984053713806128
57,0.94359576968272618,0.94976709051995467,0.9529164918170373,0.96000839278220729
58,0.94242068155111636,0.94875991439002894,0.95148971884179601,0.96005035669324379
59,0.94460298808124898,0.94989298753619544,0.95157364666386912,0.95992446496013428
60,0.94510659728051027,0.9500188845524361,0.95165757448594213,0.95971464540495177
61,0.94644955514520734,0.94976709051995467,0.95241292488459928,0.95979857322702478
62,0.94309216048346478,0.94863401737378827,0.95274863617289129,0.95946286193873265
63,0.94376363941581332,0.94913760543875114,0.95157364666386912,0.95992446496013428
64,0.94510659728051027,0.94976709051995467,0.95224506924045316,0.96013428451531679
65,0.94309216048346478,0.94888581140626971,0.95174150230801513,0.95979857322702478
66,0.94242068155111636,0.94901170842251037,0.95190935795216114,0.9601762484263533
67,0.94376363941581332,0.94989298753619544,0.95232899706252627,0.95975660931598827
68,0.94342789994963905,0.94976709051995467,0.95199328577423414,0.95895929500629462
69,0.94443511834816185,0.94938939947123258,0.95190935795216114,0.95975660931598827
70,0.94326003021655191,0.94989298753619544,0.95258078052874529,0.95992446496013428
71,0.94443511834816185,0.94913760543875114,0.95207721359630715,0.95912715065044063
72,0.94443511834816185,0.9503965756011582,0.95241292488459928,0.95971464540495177
73,0.94342789994963905,0.95090016366612107,0.95325220310532943,0.95887536718422162
74,0.94393150914890045,0.94838222334130684,0.95249685270667228,0.96030214015946291
75,0.94393150914890045,0.94976709051995467,0.95123793537557699,0.95992446496013428
76,0.94577807621285881,0.94938939947123258,0.95224506924045316,0.95954678976080565
77,0.94493872754742325,0.94888581140626971,0.95274863617289129,0.96000839278220729
78,0.94426724861507472,0.9469973561626589,0.95224506924045316,0.9602182123373898
79,0.94561020647977168,0.94901170842251037,0.95333613092740244,0.95900125891733112
80,0.94376363941581332,0.94938939947123258,0.95258078052874529,0.95971464540495177
81,0.94460298808124898,0.95027067858491754,0.95115400755350399,0.95904322282836763
82,0.94561020647977168,0.94875991439002894,0.95174150230801513,0.95883340327318511
83,0.94409937888198758,0.94863401737378827,0.95350398657154845,0.96034410407049942
84,0.94309216048346478,0.94825632632506607,0.951405791019723,0.96067981535879143
85,0.94510659728051027,0.9485081203575475,0.95148971884179601,0.95988250104909778
86,0.94510659728051027,0.94838222334130684,0.95350398657154845,0.96030214015946291
87,0.94460298808124898,0.94938939947123258,0.95266470835081829,0.95954678976080565
88,0.94577807621285881,0.95014478156867688,0.95316827528325643,0.9602182123373898
89,0.94493872754742325,0.95102606068236184,0.95232899706252627,0.9601762484263533
90,0.94275642101729062,0.9492635024549918,0.95224506924045316,0.95988250104909778
91,0.94409937888198758,0.95027067858491754,0.95232899706252627,0.9602182123373898
92,0.94493872754742325,0.95064836963363963,0.95207721359630715,0.95933697020562314
93,0.94527446701359741,0.94875991439002894,0.95207721359630715,0.96030214015946291
94,0.94191707235185496,0.95027067858491754,0.95165757448594213,0.96030214015946291
95,0.94443511834816185,0.94989298753619544,0.95241292488459928,0.96055392362568193
96,0.94661742487829448,0.94825632632506607,0.95174150230801513,0.95958875367184227
97,0.94359576968272618,0.95102606068236184,0.95174150230801513,0.95925304238355014
98,0.94275642101729062,0.94989298753619544,0.95325220310532943,0.95979857322702478
99,0.94242068155111636,0.94875991439002894,0.95249685270667228,0.95988250104909778
100,0.94527446701359741,0.94964119350371401,0.95207721359630715,0.96042803189257242
101,0.94409937888198758,0.94989298753619544,0.95098615190935798,0.95937893411665964
102,0.94443511834816185,0.94913760543875114,0.95249685270667228,0.95984053713806128
103,0.94460298808124898,0.95014478156867688,0.951405791019723,0.96009232060428029
104,0.94544233674668454,0.94964119350371401,0.95333613092740244,0.95925304238355014
105,0.94326003021655191,0.9511519576986025,0.9528325639949643,0.95862358371800249
106,0.94544233674668454,0.9485081203575475,0.95148971884179601,0.96000839278220729
107,0.94376363941581332,0.95140375173108394,0.95258078052874529,0.96034410407049942
108,0.94561020647977168,0.95077426664988041,0.95157364666386912,0.95942089802769615
109,0.94376363941581332,0.94750094422762177,0.95409148132605959,0.95963071758287877
110,0.94443511834816185,0.94913760543875114,0.95232899706252627,0.96013428451531679
111,0.94342789994963905,0.94762684124386254,0.95132186319765,0.95916911456147713
112,0.94409937888198758,0.9473750472113811,0.95090222408728498,0.96038606798153592
113,0.94460298808124898,0.94951529648747324,0.951405791019723,0.95975660931598827
114,0.94510659728051027,0.94863401737378827,0.95266470835081829,0.95933697020562314
115,0.94359576968272618,0.94901170842251037,0.95308434746118342,0.95967268149391527
116,0.94309216048346478,0.94938939947123258,0.95190935795216114,0.95996642887117078
117,0.94409937888198758,0.95027067858491754,0.95107007973143098,0.95933697020562314
118,0.94409937888198758,0.95064836963363963,0.95132186319765,0.95988250104909778
119,0.94527446701359741,0.9492635024549918,0.95190935795216114,0.95958875367184227
120,0.94426724861507472,0.95014478156867688,0.95132186319765,0.9602601762484263
121,0.94342789994963905,0.94838222334130684,0.95148971884179601,0.95950482584976915
122,0.94409937888198758,0.94989298753619544,0.95207721359630715,0.96030214015946291
123,0.94409937888198758,0.94913760543875114,0.95148971884179601,0.95950482584976915
124,0.94477085781433612,0.94951529648747324,0.95182543013008813,0.96093159882501045
125,0.94409937888198758,0.95077426664988041,0.95165757448594213,0.95929500629458664
126,0.94326003021655191,0.9511519576986025,0.95174150230801513,0.95908518673940413
127,0.94493872754742325,0.95052247261739897,0.95190935795216114,0.96005035669324379
128,0.94460298808124898,0.94901170842251037,0.95157364666386912,0.9602601762484263
129,0.94493872754742325,0.9492635024549918,0.9528325639949643,0.96005035669324379
130,0.94393150914890045,0.94938939947123258,0.95274863617289129,0.96072177926982794
131,0.94309216048346478,0.94976709051995467,0.95258078052874529,0.9602601762484263
132,0.94527446701359741,0.94875991439002894,0.95065044062106585,0.95925304238355014
133,0.94393150914890045,0.94787863527634397,0.95199328577423414,0.9602182123373898
134,0.94527446701359741,0.94712325317889967,0.951405791019723,0.95929500629458664
135,0.94309216048346478,0.95014478156867688,0.95157364666386912,0.95988250104909778
136,0.94527446701359741,0.94813042930882541,0.95148971884179601,0.95984053713806128
137,0.94544233674668454,0.9492635024549918,0.95266470835081829,0.95900125891733112
138,0.94409937888198758,0.94875991439002894,0.95224506924045316,0.96051195971464542
139,0.94493872754742325,0.94875991439002894,0.95165757448594213,0.96005035669324379
140,0.94242068155111636,0.95052247261739897,0.95232899706252627,0.95887536718422162
141,0.94644955514520734,0.94875991439002894,0.95207721359630715,0.95916911456147713
142,0.94426724861507472,0.94976709051995467,0.95316827528325643,0.96042803189257242
143,0.94510659728051027,0.9503965756011582,0.95207721359630715,0.96046999580360892
144,0.94174920261876782,0.94875991439002894,0.95174150230801513,0.9602182123373898
145,0.94577807621285881,0.94964119350371401,0.95258078052874529,0.96005035669324379
146,0.94527446701359741,0.94901170842251037,0.95174150230801513,0.95904322282836763
147,0.94359576968272618,0.94888581140626971,0.95123793537557699,0.95937893411665964
148,0.94409937888198758,0.94825632632506607,0.95308434746118342,0.95942089802769615
149,0.94544233674668454,0.94888581140626971,0.95308434746118342,0.95950482584976915
150,0.94359576968272618,0.94964119350371401,0.95174150230801513,0.95984053713806128
151,0.94460298808124898,0.95052247261739897,0.95090222408728498,0.96046999580360892
152,0.94561020647977168,0.94724915019514033,0.95107007973143098,0.95937893411665964
153,0.94292429075037776,0.94951529648747324,0.95190935795216114,0.95946286193873265
154,0.94359576968272618,0.9500188845524361,0.95232899706252627,0.95895929500629462
155,0.94426724861507472,0.94989298753619544,0.95115400755350399,0.95921107847251363
156,0.94124559341950642,0.94964119350371401,0.95308434746118342,0.95946286193873265
157,0.94493872754742325,0.95052247261739897,0.95081829626521197,0.95996642887117078
158,0.94426724861507472,0.94989298753619544,0.95065044062106585,0.95979857322702478
159,0.94527446701359741,0.95014478156867688,0.95165757448594213,0.95891733109525812
160,0.94326003021655191,0.94901170842251037,0.95182543013008813,0.95921107847251363
161,0.94477085781433612,0.9503965756011582,0.95081829626521197,0.95979857322702478
162,0.94258855128420349,0.94964119350371401,0.95190935795216114,0.95996642887117078
163,0.94477085781433612,0.94989298753619544,0.95115400755350399,0.96005035669324379
164,0.94460298808124898,0.94838222334130684,0.95199328577423414,0.96055392362568193
165,0.94393150914890045,0.94964119350371401,0.95182543013008813,0.95996642887117078
166,0.94359576968272618,0.9473750472113811,0.95174150230801513,0.95925304238355014
167,0.94359576968272618,0.94989298753619544,0.95224506924045316,0.95967268149391527
168,0.94242068155111636,0.95052247261739897,0.95165757448594213,0.96038606798153592
169,0.94376363941581332,0.94901170842251037,0.95224506924045316,0.95958875367184227
170,0.94326003021655191,0.94938939947123258,0.95107007973143098,0.9602182123373898
171,0.94409937888198758,0.94750094422762177,0.95199328577423414,0.95946286193873265
172,0.94409937888198758,0.95102606068236184,0.95199328577423414,0.95916911456147713
173,0.94510659728051027,0.95014478156867688,0.95065044062106585,0.95937893411665964
174,0.94326003021655191,0.94863401737378827,0.95199328577423414,0.95958875367184227
175,0.94510659728051027,0.9492635024549918,0.95232899706252627,0.95942089802769615
176,0.94460298808124898,0.94989298753619544,0.95098615190935798,0.95975660931598827
177,0.94628168541212021,0.94901170842251037,0.95199328577423414,0.95967268149391527
178,0.94611381567903308,0.9503965756011582,0.95249685270667228,0.95975660931598827
179,0.94426724861507472,0.94838222334130684,0.95190935795216114,0.96013428451531679
180,0.94225281181802922,0.94964119350371401,0.95274863617289129,0.95942089802769615
181,0.94561020647977168,0.94913760543875114,0.95258078052874529,0.95963071758287877
182,0.94577807621285881,0.94888581140626971,0.95249685270667228,0.95984053713806128
183,0.94208494208494209,0.95014478156867688,0.95157364666386912,0.95967268149391527
184,0.94326003021655191,0.94838222334130684,0.95266470835081829,0.9602601762484263
185,0.94460298808124898,0.94838222334130684,0.95241292488459928,0.9601762484263533
