N,S,M,L,XL
1,0.29561859996642603,0.29434722397079188,0.29525807805287452,0.29416701636592529
2,0.43646130602652344,0.43648495530655923,0.44120856063785147,0.44305497272345784
3,0.57445022662413969,0.58088883293465943,0.58019303399076794,0.58090642047838859
4,0.6840691623300319,0.69230769230769229,0.6873688627780109,0.68741082668904741
5,0.76934698673829105,0.7759033110915271,0.77213596307175825,0.77234578262694087
6,0.81954003693134125,0.82689160266901673,0.82484263533361313,0.82475870751154012
7,0.84018801410105759,0.84665743421880901,0.84574066302979434,0.84788082249265628
8,0.87544065804935367,0.88455243610726431,0.88375996642887122,0.88673940411246333
9,0.89927816014772533,0.90230391539720511,0.90541334452370958,0.91632396139320182
10,0.91052543226456273,0.91992949767090515,0.92253462022660515,0.9277801091061687
11,0.92244418331374856,0.92874228880775522,0.93126311372219894,0.93881661770877045
12,0.93335571596441158,0.93818456502580894,0.94091481326059589,0.94678976080570709
13,0.93788819875776397,0.94032481430190107,0.94410407049937051,0.95153168275283262
14,0.9375524592915897,0.94750094422762177,0.9499790180444817,0.95644146034410404
15,0.94225281181802922,0.94636787108145537,0.94897188417960554,0.95925304238355014
16,0.94376363941581332,0.94674556213017746,0.95258078052874529,0.96051195971464542
17,0.94242068155111636,0.9477527382601032,0.9529164918170373,0.96109945446915657
18,0.94477085781433612,0.9485081203575475,0.95325220310532943,0.96101552664708356
19,0.94561020647977168,0.94838222334130684,0.95383969785984057,0.96093159882501045
20,0.94359576968272618,0.94913760543875114,0.95216114141838015,0.96135123793537558
21,0.94695316434446875,0.94825632632506607,0.95199328577423414,0.96055392362568193
22,0.94326003021655191,0.94901170842251037,0.95157364666386912,0.96151909357952159
23,0.94393150914890045,0.94875991439002894,0.95199328577423414,0.96088963491397394
24,0.94426724861507472,0.94724915019514033,0.9529164918170373,0.96076374318086444
25,0.94443511834816185,0.9485081203575475,0.95367184221569445,0.96046999580360892
26,0.94359576968272618,0.94863401737378827,0.95249685270667228,0.96114141838019307
27,0.94309216048346478,0.94787863527634397,0.95300041963911042,0.96042803189257242
28,0.94208494208494209,0.94787863527634397,0.95241292488459928,0.96005035669324379
29,0.94594594594594594,0.94825632632506607,0.95132186319765,0.96093159882501045
30,0.94342789994963905,0.94825632632506607,0.95241292488459928,0.96076374318086444
31,0.94426724861507472,0.94800453229258463,0.95308434746118342,0.96009232060428029
32,0.94477085781433612,0.94762684124386254,0.95241292488459928,0.9601762484263533
33,0.94359576968272618,0.94838222334130684,0.95148971884179601,0.96034410407049942
34,0.94376363941581332,0.94762684124386254,0.95123793537557699,0.96063785144775493
35,0.94561020647977168,0.9485081203575475,0.95216114141838015,0.96013428451531679
36,0.94393150914890045,0.94901170842251037,0.95350398657154845,0.96080570709190094
37,0.94544233674668454,0.94825632632506607,0.95081829626521197,0.96013428451531679
38,0.94292429075037776,0.94813042930882541,0.95224506924045316,0.96114141838019307
39,0.94376363941581332,0.94724915019514033,0.95199328577423414,0.96038606798153592
40,0.94477085781433612,0.94875991439002894,0.95148971884179601,0.96030214015946291
41,0.94510659728051027,0.94976709051995467,0.95342005874947544,0.96063785144775493
42,0.94409937888198758,0.94875991439002894,0.9528325639949643,0.95967268149391527
43,0.94376363941581332,0.94838222334130684,0.95182543013008813,0.96038606798153592
44,0.94493872754742325,0.94762684124386254,0.95249685270667228,0.96076374318086444
45,0.94477085781433612,0.94913760543875114,0.95148971884179601,0.96072177926982794
46,0.94326003021655191,0.9485081203575475,0.95174150230801513,0.96063785144775493
47,0.94393150914890045,0.94813042930882541,0.95300041963911042,0.95963071758287877
48,0.94326003021655191,0.94875991439002894,0.95274863617289129,0.9602601762484263
49,0.94443511834816185,0.94863401737378827,0.95241292488459928,0.96034410407049942
50,0.94292429075037776,0.9477527382601032,0.95190935795216114,0.96067981535879143
51,0.94661742487829448,0.94888581140626971,0.95266470835081829,0.96038606798153592
52,0.94393150914890045,0.94787863527634397,0.95157364666386912,0.9601762484263533
53,0.94409937888198758,0.9469973561626589,0.95325220310532943,0.9601762484263533
54,0.94493872754742325,0.9492635024549918,0.95274863617289129,0.96038606798153592
55,0.94326003021655191,0.94951529648747324,0.95207721359630715,0.96063785144775493
56,0.94443511834816185,0.94712325317889967,0.95115400755350399,0.96059588753671843
57,0.94544233674668454,0.9485081203575475,0.95258078052874529,0.96080570709190094
58,0.94393150914890045,0.94825632632506607,0.95190935795216114,0.96097356273604695
59,0.94409937888198758,0.9500188845524361,0.95241292488459928,0.96097356273604695
60,0.94258855128420349,0.94913760543875114,0.95325220310532943,0.9601762484263533
61,0.94510659728051027,0.9503965756011582,0.95300041963911042,0.96080570709190094
62,0.94460298808124898,0.94724915019514033,0.95232899706252627,0.96013428451531679
63,0.94275642101729062,0.94838222334130684,0.95333613092740244,0.96067981535879143
64,0.94544233674668454,0.94951529648747324,0.95308434746118342,0.95996642887117078
65,0.94510659728051027,0.9485081203575475,0.9529164918170373,0.9602601762484263
66,0.94460298808124898,0.94787863527634397,0.95308434746118342,0.96030214015946291
67,0.94309216048346478,0.94888581140626971,0.95148971884179601,0.95992446496013428
68,0.94309216048346478,0.94888581140626971,0.95165757448594213,0.96097356273604695
69,0.94342789994963905,0.94913760543875114,0.95165757448594213,0.9602601762484263
70,0.94510659728051027,0.94800453229258463,0.95148971884179601,0.95975660931598827
71,0.94577807621285881,0.94838222334130684,0.95266470835081829,0.96005035669324379
72,0.94309216048346478,0.94825632632506607,0.95300041963911042,0.96005035669324379
73,0.94292429075037776,0.94875991439002894,0.95182543013008813,0.96093159882501045
74,0.94460298808124898,0.94888581140626971,0.95216114141838015,0.96030214015946291
75,0.94258855128420349,0.94750094422762177,0.95207721359630715,0.9602182123373898
76,0.94242068155111636,0.9492635024549918,0.95199328577423414,0.95958875367184227
77,0.94628168541212021,0.94762684124386254,0.95123793537557699,0.95963071758287877
78,0.94292429075037776,0.9485081203575475,0.9529164918170373,0.96080570709190094
79,0.94258855128420349,0.94888581140626971,0.95224506924045316,0.96038606798153592
80,0.94208494208494209,0.94888581140626971,0.9528325639949643,0.96013428451531679
81,0.94577807621285881,0.94762684124386254,0.95258078052874529,0.96105749055812006
82,0.94242068155111636,0.94888581140626971,0.95182543013008813,0.96000839278220729
83,0.94544233674668454,0.94901170842251037,0.95316827528325643,0.96013428451531679
84,0.94409937888198758,0.94750094422762177,0.95224506924045316,0.96005035669324379
85,0.94426724861507472,0.94838222334130684,0.95249685270667228,0.96067981535879143
86,0.94594594594594594,0.9485081203575475,0.95232899706252627,0.96005035669324379
87,0.94342789994963905,0.94800453229258463,0.95266470835081829,0.96042803189257242
88,0.94409937888198758,0.94800453229258463,0.95157364666386912,0.96080570709190094
89,0.94326003021655191,0.9500188845524361,0.95249685270667228,0.96000839278220729
90,0.94460298808124898,0.94888581140626971,0.95216114141838015,0.96109945446915657
91,0.94359576968272618,0.94838222334130684,0.95216114141838015,0.95975660931598827
92,0.94409937888198758,0.94800453229258463,0.95190935795216114,0.96072177926982794
93,0.94527446701359741,0.94863401737378827,0.95216114141838015,0.96055392362568193
94,0.94242068155111636,0.9473750472113811,0.95249685270667228,0.95967268149391527
95,0.94225281181802922,0.94825632632506607,0.95258078052874529,0.96055392362568193
96,0.94342789994963905,0.94800453229258463,0.95333613092740244,0.9601762484263533
97,0.94409937888198758,0.94888581140626971,0.95350398657154845,0.96005035669324379
98,0.94359576968272618,0.94762684124386254,0.95190935795216114,0.96122534620226607
99,0.94460298808124898,0.94901170842251037,0.95241292488459928,0.96034410407049942
100,0.94309216048346478,0.94712325317889967,0.95165757448594213,0.96055392362568193
101,0.94493872754742325,0.94825632632506607,0.95190935795216114,0.96038606798153592
102,0.94477085781433612,0.94901170842251037,0.95316827528325643,0.95988250104909778
103,0.94393150914890045,0.94875991439002894,0.95148971884179601,0.96051195971464542
104,0.94393150914890045,0.94762684124386254,0.9528325639949643,0.96038606798153592
105,0.94409937888198758,0.94787863527634397,0.95224506924045316,0.95988250104909778
106,0.94275642101729062,0.94800453229258463,0.95249685270667228,0.9602601762484263
107,0.94309216048346478,0.94825632632506607,0.95207721359630715,0.96051195971464542
108,0.94258855128420349,0.94875991439002894,0.95224506924045316,0.96046999580360892
109,0.94309216048346478,0.94825632632506607,0.95258078052874529,0.96030214015946291
110,0.94477085781433612,0.94712325317889967,0.95132186319765,0.96055392362568193
111,0.94359576968272618,0.94649376809769603,0.95258078052874529,0.96046999580360892
112,0.94225281181802922,0.94787863527634397,0.95274863617289129,0.96067981535879143
113,0.94527446701359741,0.94901170842251037,0.95199328577423414,0.95958875367184227
114,0.94292429075037776,0.94888581140626971,0.95333613092740244,0.95958875367184227
115,0.94158133288568069,0.94875991439002894,0.95325220310532943,0.96042803189257242
116,0.94477085781433612,0.94964119350371401,0.95190935795216114,0.9602182123373898
117,0.94443511834816185,0.94875991439002894,0.95224506924045316,0.96063785144775493
118,0.94275642101729062,0.94838222334130684,0.9528325639949643,0.96088963491397394
119,0.94527446701359741,0.94989298753619544,0.95249685270667228,0.96147712966848509
120,0.94611381567903308,0.94875991439002894,0.95224506924045316,0.96038606798153592
121,0.94258855128420349,0.9477527382601032,0.95207721359630715,0.96042803189257242
122,0.94443511834816185,0.94813042930882541,0.9528325639949643,0.96034410407049942
123,0.94191707235185496,0.94624197406521471,0.95182543013008813,0.96072177926982794
124,0.94359576968272618,0.94813042930882541,0.95190935795216114,0.96063785144775493
125,0.94628168541212021,0.94863401737378827,0.95224506924045316,0.96005035669324379
126,0.94460298808124898,0.94976709051995467,0.95048258497691984,0.95979857322702478
127,0.94309216048346478,0.94787863527634397,0.95224506924045316,0.95958875367184227
128,0.94527446701359741,0.9473750472113811,0.95316827528325643,0.96042803189257242
129,0.94409937888198758,0.94913760543875114,0.95300041963911042,0.96067981535879143
130,0.94275642101729062,0.9492635024549918,0.95207721359630715,0.96093159882501045
131,0.94510659728051027,0.94800453229258463,0.9528325639949643,0.9602601762484263
132,0.94191707235185496,0.94724915019514033,0.95316827528325643,0.96097356273604695
133,0.94426724861507472,0.94938939947123258,0.95207721359630715,0.95971464540495177
134,0.94527446701359741,0.94800453229258463,0.95274863617289129,0.96122534620226607
135,0.94359576968272618,0.94875991439002894,0.95174150230801513,0.96046999580360892
136,0.94258855128420349,0.94750094422762177,0.95190935795216114,0.96038606798153592
137,0.94493872754742325,0.94787863527634397,0.9528325639949643,0.95988250104909778
138,0.94460298808124898,0.9492635024549918,0.95316827528325643,0.96042803189257242
139,0.94426724861507472,0.9477527382601032,0.95300041963911042,0.96088963491397394
140,0.94342789994963905,0.94863401737378827,0.95148971884179601,0.96084767100293744
141,0.94594594594594594,0.9485081203575475,0.95316827528325643,0.95971464540495177
142,0.94443511834816185,0.94687145914641824,0.95224506924045316,0.9602182123373898
143,0.94258855128420349,0.9492635024549918,0.9529164918170373,0.96034410407049942
144,0.94426724861507472,0.94762684124386254,0.95249685270667228,0.96067981535879143
145,0.94611381567903308,0.94951529648747324,0.95392362568191358,0.9602601762484263
146,0.94242068155111636,0.94938939947123258,0.95190935795216114,0.96084767100293744
147,0.94544233674668454,0.9477527382601032,0.95316827528325643,0.96105749055812006
148,0.94393150914890045,0.9477527382601032,0.95182543013008813,0.96009232060428029
149,0.94443511834816185,0.94989298753619544,0.95274863617289129,0.96038606798153592
150,0.94426724861507472,0.94863401737378827,0.95157364666386912,0.96101552664708356
151,0.94426724861507472,0.94913760543875114,0.95249685270667228,0.96034410407049942
152,0.94342789994963905,0.94724915019514033,0.95157364666386912,0.96076374318086444
153,0.94309216048346478,0.9485081203575475,0.95157364666386912,0.96067981535879143
154,0.94258855128420349,0.94964119350371401,0.95274863617289129,0.95967268149391527
155,0.94258855128420349,0.94787863527634397,0.95241292488459928,0.96088963491397394
156,0.94393150914890045,0.94938939947123258,0.95165757448594213,0.9602601762484263
157,0.94477085781433612,0.95077426664988041,0.95132186319765,0.95984053713806128
158,0.94124559341950642,0.94901170842251037,0.95132186319765,0.96130927402433908
159,0.94309216048346478,0.94838222334130684,0.95241292488459928,0.96101552664708356
160,0.94510659728051027,0.94964119350371401,0.95375577003776757,0.96059588753671843
161,0.94292429075037776,0.94724915019514033,0.95207721359630715,0.95979857322702478
162,0.94393150914890045,0.94951529648747324,0.95216114141838015,0.96059588753671843
163,0.94493872754742325,0.9469973561626589,0.95199328577423414,0.96063785144775493
164,0.94510659728051027,0.94951529648747324,0.95241292488459928,0.95963071758287877
165,0.94225281181802922,0.94863401737378827,0.95325220310532943,0.96046999580360892
166,0.94275642101729062,0.94938939947123258,0.951405791019723,0.96088963491397394
167,0.94393150914890045,0.94901170842251037,0.95207721359630715,0.96109945446915657
168,0.94342789994963905,0.94888581140626971,0.95199328577423414,0.96005035669324379
169,0.94611381567903308,0.94800453229258463,0.95224506924045316,0.96114141838019307
170,0.94527446701359741,0.94813042930882541,0.95182543013008813,0.96147712966848509
171,0.94359576968272618,0.94712325317889967,0.9529164918170373,0.96038606798153592
172,0.94510659728051027,0.95014478156867688,0.95316827528325643,0.96009232060428029
173,0.94426724861507472,0.94875991439002894,0.95241292488459928,0.96076374318086444
174,0.94309216048346478,0.94838222334130684,0.95132186319765,0.96067981535879143
175,0.94275642101729062,0.94825632632506607,0.95232899706252627,0.96072177926982794
176,0.94493872754742325,0.9503965756011582,0.95098615190935798,0.96034410407049942
177,0.94443511834816185,0.9477527382601032,0.95358791439362145,0.9601762484263533
178,0.94275642101729062,0.94787863527634397,0.95216114141838015,0.96059588753671843
179,0.94443511834816185,0.94913760543875114,0.95182543013008813,0.96038606798153592
180,0.94594594594594594,0.94875991439002894,0.95107007973143098,0.96046999580360892
181,0.94409937888198758,0.94762684124386254,0.9528325639949643,0.95971464540495177
182,0.94275642101729062,0.94888581140626971,0.95207721359630715,0.9601762484263533
183,0.94544233674668454,0.94888581140626971,0.95157364666386912,0.96067981535879143
184,0.94342789994963905,0.94875991439002894,0.95182543013008813,0.95984053713806128
185,0.94409937888198758,0.94976709051995467,0.95232899706252627,0.96126731011330258
