N,S,M,L,XL
1,0.03,0.039,0.055,0.133
2,0.038,0.048,0.072,0.171
3,0.045,0.057,0.088,0.224
4,0.051,0.068,0.103,0.263
5,0.057,0.079,0.117,0.293
6,0.067,0.087,0.131,0.324
7,0.071,0.096,0.152,0.352
8,0.078,0.105,0.158,0.361
9,0.083,0.109,0.171,0.376
10,0.086,0.117,0.178,0.383
11,0.089,0.122,0.192,0.399
12,0.092,0.131,0.198,0.41
13,0.094,0.138,0.202,0.485
14,0.099,0.141,0.21,0.49
15,0.099,0.145,0.216,0.484
16,0.102,0.145,0.219,0.496
17,0.102,0.151,0.222,0.518
18,0.104,0.144,0.229,0.508
19,0.104,0.141,0.225,0.516
20,0.105,0.144,0.229,0.551
21,0.106,0.144,0.229,0.525
22,0.105,0.148,0.236,0.534
23,0.106,0.145,0.236,0.501
24,0.106,0.145,0.235,0.515
25,0.105,0.147,0.231,0.521
26,0.104,0.146,0.239,0.494
27,0.106,0.145,0.236,0.528
28,0.104,0.144,0.23,0.494
29,0.104,0.145,0.231,0.486
30,0.104,0.143,0.231,0.497
31,0.105,0.146,0.233,0.521
32,0.106,0.144,0.23,0.531
33,0.109,0.146,0.234,0.488
34,0.112,0.144,0.232,0.484
35,0.106,0.146,0.23,0.487
36,0.104,0.144,0.232,0.518
37,0.104,0.144,0.232,0.553
38,0.105,0.147,0.233,0.543
39,0.105,0.147,0.237,0.576
40,0.104,0.141,0.235,0.494
41,0.105,0.148,0.241,0.503
42,0.105,0.148,0.234,0.502
43,0.108,0.15,0.242,0.492
44,0.109,0.145,0.234,0.5
45,0.108,0.143,0.235,0.503
46,0.108,0.144,0.234,0.493
47,0.108,0.144,0.237,0.498
48,0.108,0.144,0.23,0.489
49,0.111,0.142,0.234,0.54
50,0.109,0.141,0.234,0.505
51,0.107,0.145,0.231,0.498
52,0.105,0.144,0.231,0.507
53,0.106,0.142,0.231,0.493
54,0.106,0.142,0.229,0.493
55,0.108,0.144,0.229,0.493
56,0.106,0.141,0.228,0.496
57,0.106,0.142,0.23,0.489
58,0.106,0.142,0.233,0.538
59,0.107,0.144,0.235,0.55
60,0.104,0.145,0.228,0.567
61,0.108,0.145,0.231,0.53
62,0.107,0.144,0.232,0.618
63,0.106,0.144,0.231,0.572
64,0.107,0.145,0.23,0.577
65,0.107,0.149,0.233,0.527
66,0.109,0.145,0.229,0.491
67,0.109,0.146,0.236,0.49
68,0.109,0.145,0.23,0.515
69,0.107,0.146,0.228,0.488
70,0.107,0.147,0.227,0.491
71,0.105,0.143,0.232,0.484
72,0.106,0.143,0.236,0.53
73,0.105,0.147,0.228,0.5
74,0.105,0.147,0.226,0.493
75,0.105,0.148,0.228,0.491
76,0.109,0.144,0.228,0.491
77,0.114,0.144,0.227,0.485
78,0.11,0.145,0.227,0.488
79,0.108,0.146,0.235,0.488
80,0.105,0.144,0.233,0.492
81,0.104,0.144,0.235,0.486
82,0.106,0.142,0.236,0.487
83,0.106,0.142,0.236,0.481
84,0.105,0.142,0.234,0.488
85,0.109,0.145,0.238,0.492
86,0.105,0.141,0.232,0.485
87,0.109,0.142,0.232,0.488
88,0.105,0.143,0.235,0.485
89,0.107,0.147,0.234,0.486
90,0.106,0.146,0.236,0.479
91,0.106,0.143,0.25,0.482
92,0.106,0.144,0.237,0.483
93,0.106,0.142,0.23,0.489
94,0.11,0.142,0.229,0.488
95,0.106,0.145,0.239,0.488
96,0.115,0.142,0.229,0.486
97,0.106,0.143,0.236,0.489
98,0.105,0.143,0.233,0.491
99,0.107,0.145,0.232,0.484
100,0.105,0.144,0.232,0.49
101,0.11,0.144,0.228,0.488
102,0.108,0.147,0.229,0.493
103,0.11,0.145,0.226,0.5
104,0.106,0.146,0.227,0.493
105,0.108,0.142,0.229,0.491
106,0.109,0.143,0.233,0.486
107,0.108,0.143,0.244,0.509
108,0.106,0.141,0.231,0.528
109,0.106,0.143,0.231,0.514
110,0.107,0.144,0.231,0.504
111,0.11,0.147,0.23,0.514
112,0.115,0.141,0.227,0.519
113,0.11,0.141,0.227,0.496
114,0.109,0.142,0.23,0.513
115,0.109,0.146,0.229,0.513
116,0.107,0.141,0.232,0.49
117,0.105,0.142,0.236,0.5
118,0.107,0.144,0.248,0.494
119,0.104,0.142,0.24,0.558
120,0.11,0.145,0.236,0.587
121,0.105,0.143,0.252,0.497
122,0.108,0.145,0.246,0.488
123,0.105,0.143,0.237,0.486
124,0.105,0.146,0.235,0.524
125,0.105,0.144,0.237,0.561
126,0.108,0.141,0.237,0.507
127,0.108,0.145,0.231,0.522
128,0.107,0.145,0.235,0.587
129,0.107,0.149,0.235,0.483
130,0.106,0.146,0.235,0.521
