N,S,M,L,XL
1,0.011,0.014,0.021,0.039
2,0.019,0.023,0.037,0.068
3,0.027,0.033,0.052,0.107
4,0.036,0.042,0.071,0.148
5,0.043,0.052,0.089,0.178
6,0.05,0.062,0.109,0.214
7,0.057,0.069,0.113,0.215
8,0.08,0.076,0.124,0.237
9,0.069,0.083,0.136,0.264
10,0.074,0.089,0.148,0.285
11,0.074,0.093,0.162,0.303
12,0.075,0.098,0.156,0.328
13,0.078,0.101,0.171,0.34
14,0.078,0.103,0.164,0.352
15,0.081,0.109,0.172,0.402
16,0.084,0.11,0.175,0.403
17,0.086,0.112,0.179,0.419
18,0.087,0.114,0.182,0.418
19,0.087,0.113,0.186,0.411
20,0.089,0.115,0.184,0.43
21,0.086,0.114,0.188,0.432
22,0.087,0.116,0.186,0.427
23,0.087,0.114,0.189,0.388
24,0.086,0.115,0.186,0.394
25,0.089,0.114,0.187,0.407
26,0.087,0.114,0.186,0.394
27,0.086,0.115,0.192,0.406
28,0.087,0.117,0.188,0.4
29,0.086,0.113,0.191,0.401
30,0.086,0.116,0.19,0.391
31,0.088,0.115,0.187,0.448
32,0.089,0.115,0.189,0.411
33,0.086,0.115,0.186,0.389
34,0.086,0.114,0.185,0.392
35,0.089,0.114,0.187,0.393
36,0.085,0.117,0.188,0.393
37,0.086,0.116,0.187,0.405
38,0.086,0.116,0.187,0.392
39,0.087,0.115,0.187,0.4
40,0.088,0.116,0.188,0.39
41,0.086,0.119,0.189,0.43
42,0.085,0.118,0.189,0.419
43,0.088,0.118,0.186,0.429
44,0.087,0.116,0.186,0.392
45,0.089,0.117,0.189,0.418
46,0.087,0.119,0.192,0.397
47,0.085,0.12,0.189,0.423
48,0.087,0.117,0.188,0.424
49,0.086,0.119,0.186,0.411
50,0.086,0.118,0.189,0.404
51,0.088,0.119,0.185,0.411
52,0.087,0.117,0.189,0.4
53,0.088,0.117,0.188,0.396
54,0.087,0.117,0.188,0.391
55,0.089,0.119,0.19,0.409
56,0.086,0.118,0.195,0.407
57,0.085,0.118,0.192,0.403
58,0.086,0.117,0.189,0.392
59,0.088,0.119,0.187,0.394
60,0.085,0.117,0.193,0.398
61,0.088,0.118,0.202,0.4
62,0.087,0.116,0.19,0.41
63,0.087,0.117,0.192,0.395
64,0.087,0.116,0.192,0.388
65,0.087,0.117,0.19,0.403
66,0.086,0.12,0.189,0.402
67,0.087,0.118,0.191,0.393
68,0.088,0.118,0.191,0.391
69,0.086,0.118,0.188,0.391
70,0.086,0.119,0.19,0.401
71,0.086,0.118,0.193,0.395
72,0.086,0.118,0.194,0.398
73,0.086,0.122,0.192,0.393
74,0.087,0.127,0.186,0.395
75,0.086,0.125,0.189,0.398
76,0.086,0.121,0.185,0.397
77,0.092,0.121,0.186,0.405
78,0.085,0.118,0.189,0.393
79,0.085,0.118,0.19,0.395
80,0.086,0.118,0.186,0.405
81,0.085,0.118,0.189,0.399
82,0.086,0.12,0.189,0.396
83,0.087,0.117,0.193,0.427
84,0.088,0.129,0.192,0.392
85,0.086,0.126,0.19,0.396
86,0.089,0.126,0.194,0.401
87,0.086,0.123,0.187,0.394
88,0.085,0.124,0.189,0.395
89,0.085,0.127,0.187,0.395
90,0.088,0.128,0.19,0.395
91,0.087,0.123,0.194,0.401
92,0.09,0.119,0.19,0.399
93,0.086,0.122,0.189,0.402
94,0.086,0.124,0.194,0.394
95,0.086,0.119,0.187,0.394
96,0.087,0.123,0.184,0.394
97,0.086,0.126,0.186,0.398
98,0.087,0.126,0.194,0.404
99,0.086,0.124,0.19,0.399
100,0.085,0.131,0.189,0.4
101,0.085,0.122,0.186,0.392
102,0.086,0.128,0.191,0.405
103,0.088,0.114,0.189,0.403
104,0.087,0.119,0.191,0.401
105,0.086,0.115,0.184,0.4
106,0.087,0.114,0.187,0.397
107,0.085,0.123,0.187,0.396
108,0.085,0.125,0.188,0.405
109,0.086,0.125,0.19,0.412
110,0.085,0.125,0.187,0.421
111,0.085,0.124,0.188,0.4
112,0.087,0.123,0.188,0.399
113,0.088,0.122,0.186,0.397
114,0.087,0.121,0.188,0.401
115,0.087,0.115,0.184,0.388
116,0.088,0.114,0.19,0.403
117,0.086,0.114,0.186,0.398
118,0.087,0.125,0.186,0.401
119,0.086,0.127,0.186,0.398
120,0.093,0.129,0.19,0.394
121,0.089,0.125,0.193,0.398
122,0.088,0.116,0.191,0.395
123,0.086,0.117,0.203,0.398
124,0.086,0.118,0.211,0.388
125,0.088,0.122,0.204,0.395
126,0.09,0.122,0.192,0.399
127,0.088,0.125,0.201,0.391
128,0.086,0.116,0.204,0.397
129,0.088,0.115,0.194,0.39
130,0.086,0.123,0.198,0.398
131,0.088,0.116,0.186,0.398
132,0.088,0.116,0.187,0.4
133,0.086,0.116,0.189,0.39
134,0.088,0.116,0.188,0.401
135,0.088,0.116,0.188,0.4
136,0.087,0.116,0.184,0.4
137,0.087,0.116,0.184,0.4
138,0.086,0.123,0.184,0.397
139,0.087,0.114,0.187,0.4
140,0.086,0.113,0.188,0.403
141,0.087,0.114,0.187,0.41
142,0.087,0.114,0.184,0.404
143,0.086,0.116,0.186,0.389
144,0.086,0.127,0.188,0.397
145,0.085,0.123,0.186,0.394
146,0.086,0.115,0.187,0.39
147,0.087,0.126,0.184,0.389
148,0.089,0.125,0.186,0.401
149,0.093,0.122,0.189,0.391
150,0.089,0.117,0.185,0.399
151,0.088,0.124,0.186,0.399
152,0.087,0.122,0.184,0.399
153,0.089,0.136,0.186,0.392
154,0.088,0.131,0.189,0.387
155,0.087,0.128,0.186,0.407
156,0.087,0.123,0.183,0.408
157,0.089,0.117,0.183,0.401
158,0.086,0.119,0.186,0.402
159,0.086,0.119,0.188,0.392
160,0.089,0.116,0.188,0.402
161,0.087,0.115,0.191,0.389
162,0.086,0.131,0.187,0.398
163,0.085,0.127,0.19,0.391
164,0.088,0.126,0.189,0.39
165,0.088,0.116,0.194,0.394
166,0.089,0.117,0.187,0.397
167,0.086,0.121,0.185,0.393
168,0.088,0.115,0.189,0.397
169,0.087,0.114,0.193,0.396
170,0.088,0.116,0.201,0.396
171,0.088,0.125,0.199,0.393
172,0.089,0.123,0.207,0.394
173,0.086,0.119,0.2,0.394
174,0.088,0.117,0.207,0.401
175,0.088,0.12,0.197,0.401
176,0.087,0.117,0.189,0.401
177,0.088,0.115,0.193,0.397
178,0.087,0.116,0.188,0.391
179,0.088,0.124,0.194,0.384
180,0.088,0.125,0.194,0.398
181,0.088,0.133,0.194,0.396
182,0.088,0.125,0.188,0.39
183,0.088,0.131,0.187,0.388
184,0.086,0.121,0.187,0.394
185,0.086,0.115,0.192,0.391
186,0.087,0.114,0.193,0.389
187,0.086,0.117,0.187,0.395
188,0.086,0.119,0.19,0.393
189,0.088,0.116,0.19,0.392
190,0.086,0.115,0.189,0.398
191,0.086,0.117,0.196,0.385
192,0.087,0.119,0.192,0.396
193,0.09,0.119,0.192,0.389
194,0.086,0.116,0.191,0.391
195,0.085,0.119,0.19,0.394
196,0.085,0.118,0.195,0.394
197,0.086,0.117,0.19,0.396
198,0.086,0.117,0.2,0.395
199,0.095,0.116,0.191,0.395
200,0.086,0.115,0.19,0.393
201,0.087,0.117,0.196,0.425
202,0.088,0.116,0.191,0.39
203,0.088,0.128,0.188,0.391
204,0.088,0.133,0.193,0.39
205,0.088,0.12,0.187,0.436
206,0.089,0.115,0.21,0.399
207,0.085,0.114,0.206,0.397
208,0.085,0.115,0.191,0.389
209,0.088,0.114,0.189,0.393
210,0.089,0.115,0.187,0.398
211,0.088,0.116,0.192,0.401
212,0.085,0.115,0.206,0.398
213,0.086,0.117,0.204,0.398
214,0.085,0.118,0.202,0.39
215,0.085,0.117,0.197,0.394
216,0.086,0.116,0.191,0.39
217,0.087,0.131,0.191,0.396
218,0.087,0.122,0.189,0.395
219,0.087,0.12,0.192,0.389
220,0.086,0.119,0.186,0.397
221,0.087,0.118,0.189,0.414
222,0.087,0.118,0.186,0.423
223,0.092,0.118,0.186,0.429
224,0.086,0.117,0.186,0.426
225,0.088,0.117,0.186,0.404
226,0.09,0.116,0.189,0.396
227,0.086,0.115,0.193,0.412
228,0.092,0.119,0.185,0.399
229,0.091,0.13,0.184,0.393
230,0.097,0.116,0.187,0.393
231,0.092,0.12,0.187,0.387
232,0.094,0.122,0.185,0.401
233,0.094,0.115,0.185,0.392
234,0.089,0.115,0.185,0.391
235,0.09,0.115,0.183,0.396
236,0.088,0.115,0.184,0.395
237,0.09,0.115,0.186,0.398
238,0.09,0.116,0.191,0.396
239,0.089,0.115,0.188,0.39
240,0.087,0.114,0.187,0.391
241,0.089,0.115,0.186,0.386
242,0.088,0.115,0.189,0.389
243,0.091,0.116,0.185,0.394
244,0.091,0.115,0.186,0.397
245,0.091,0.115,0.191,0.386
246,0.09,0.116,0.185,0.39
247,0.089,0.118,0.185,0.392
248,0.088,0.12,0.191,0.389
249,0.088,0.121,0.193,0.39
250,0.088,0.118,0.187,0.42
251,0.089,0.118,0.194,0.392
252,0.088,0.117,0.2,0.393
253,0.089,0.116,0.204,0.391
254,0.088,0.115,0.203,0.391
255,0.087,0.123,0.205,0.396
256,0.088,0.126,0.189,0.395
257,0.088,0.127,0.19,0.405
258,0.089,0.122,0.194,0.403
259,0.089,0.119,0.19,0.392
260,0.087,0.116,0.195,0.391
261,0.088,0.12,0.194,0.391
262,0.088,0.119,0.19,0.396
263,0.088,0.118,0.19,0.395
264,0.088,0.119,0.198,0.394
265,0.089,0.119,0.201,0.393
266,0.087,0.117,0.195,0.393
267,0.088,0.117,0.188,0.399
268,0.087,0.115,0.192,0.397
269,0.088,0.117,0.19,0.404
270,0.09,0.117,0.188,0.414
271,0.089,0.118,0.188,0.403
272,0.09,0.116,0.192,0.4
273,0.089,0.116,0.19,0.392
274,0.088,0.119,0.185,0.402
275,0.09,0.116,0.185,0.395
276,0.087,0.116,0.186,0.393
277,0.087,0.117,0.187,0.399
278,0.087,0.116,0.185,0.39
279,0.094,0.118,0.185,0.397
280,0.105,0.115,0.185,0.393
281,0.089,0.12,0.186,0.395
282,0.087,0.116,0.188,0.406
283,0.089,0.119,0.19,0.399
284,0.088,0.117,0.184,0.399
285,0.088,0.116,0.186,0.438
286,0.088,0.116,0.184,0.425
287,0.089,0.116,0.184,0.41
288,0.087,0.117,0.187,0.414
289,0.089,0.115,0.207,0.422
290,0.088,0.116,0.209,0.411
291,0.087,0.115,0.205,0.397
292,0.089,0.118,0.194,0.392
293,0.089,0.118,0.189,0.402
294,0.088,0.118,0.191,0.4
295,0.09,0.119,0.186,0.432
296,0.088,0.119,0.187,0.397
297,0.087,0.117,0.188,0.39
298,0.087,0.119,0.185,0.394
299,0.086,0.119,0.187,0.401
300,0.089,0.118,0.189,0.391
301,0.086,0.118,0.185,0.399
302,0.088,0.118,0.186,0.396
303,0.089,0.118,0.186,0.396
304,0.09,0.118,0.188,0.399
305,0.089,0.118,0.184,0.411
306,0.088,0.117,0.183,0.388
307,0.087,0.116,0.185,0.398
308,0.089,0.117,0.186,0.399
309,0.087,0.117,0.19,0.394
310,0.09,0.119,0.189,0.396
311,0.088,0.117,0.192,0.397
312,0.087,0.117,0.19,0.392
313,0.086,0.118,0.191,0.391
314,0.087,0.117,0.192,0.401
315,0.086,0.117,0.192,0.394
316,0.087,0.115,0.191,0.397
317,0.087,0.118,0.191,0.394
318,0.086,0.119,0.189,0.393
319,0.088,0.116,0.189,0.405
320,0.085,0.118,0.196,0.401
321,0.087,0.116,0.203,0.401
322,0.085,0.116,0.191,0.397
323,0.085,0.115,0.191,0.395
324,0.088,0.117,0.188,0.397
325,0.086,0.116,0.194,0.392
326,0.086,0.117,0.193,0.392
327,0.085,0.116,0.207,0.399
328,0.087,0.116,0.204,0.403
329,0.088,0.116,0.193,0.399
330,0.088,0.117,0.194,0.399
331,0.088,0.116,0.192,0.401
332,0.089,0.117,0.19,0.397
