N,S,M,L,XL
1,0.93419506462984725,0.93730328591212386,0.9425094418799832,0.95077633235417536
2,0.92748027530636223,0.93188971421377309,0.93478808224926568,0.94422996223248001
3,0.92764814503944937,0.9330227873599396,0.93730591691145615,0.94758707511540075
4,0.92546583850931674,0.93138612614881022,0.93545950482584972,0.94477549307595465
5,0.92261205304683569,0.92974946493768096,0.93520772135963071,0.94527906000839279
6,0.91992613731744166,0.92748331864534805,0.93344523709609739,0.94305497272345784
7,0.91959039785126739,0.92660203953166309,0.93193453629878309,0.94313890054553084
8,0.91640087292261208,0.92483948130429305,0.93033990767939567,0.9410826689047419
9,0.91321134799395665,0.92282512904444169,0.9290809903483005,0.9409987410826689
10,0.91371495719321805,0.92093667380083089,0.9261435165757449,0.94015946286193874
11,0.91035756253147559,0.91917411557346096,0.9248006714225766,0.93990767939571973
12,0.90935034413295279,0.91942590960594239,0.9232060428031893,0.93915232899706258
13,0.90716803760282017,0.91665617524864662,0.92303818715904318,0.93764162819974817
14,0.90464999160651338,0.91501951403751736,0.92119177507343686,0.93751573646663866
15,0.90280342454255502,0.91287926476142511,0.92001678556441457,0.93638271086865299
16,0.90179620614403222,0.91212388266398081,0.91959714645404955,0.93604699958036086
17,0.90062111801242239,0.91224977968022158,0.91892572387746541,0.9351657574485942
18,0.89978176934698673,0.91036132443661089,0.91900965169953841,0.93432647922786405
19,0.89592076548598287,0.90847286919300008,0.91674360050356696,0.9336130927402434
20,0.89575289575289574,0.90771748709555589,0.91430969366344939,0.93285774234158625
21,0.89289911029041469,0.90595492886818585,0.91397398237515737,0.93277381451951324
22,0.89054893402719493,0.90419237064081581,0.91263113722198907,0.93122114981116244
23,0.88769514856471377,0.90255570942968655,0.91086865295845576,0.93122114981116244
24,0.88853449723014943,0.89966007805615011,0.90969366344943348,0.9307175828787243
25,0.88517710256840687,0.89827521087750217,0.90977759127150648,0.93029794376835917
26,0.88366627497062278,0.89789751982878008,0.90910616869492233,0.92929080990348301
27,0.88249118683901295,0.89689034369885434,0.90843474611833819,0.92752832563994969
28,0.88030888030888033,0.89638675563389147,0.90776332354175404,0.92757028955098619
