N,S,M,L,XL
1,0.91673661238878634,0.91980360065466449,0.92933277381451951,0.93533361309274021
2,0.91354708746013091,0.91300516177766589,0.92135963071758287,0.92933277381451951
3,0.9175759610542219,0.92345461412564522,0.93050776332354179,0.93898447335291646
4,0.91438643612556658,0.92144026186579375,0.92605958875367189,0.93541754091481322
5,0.91656874265569921,0.91955180662218305,0.9262274443978179,0.93701216953420063
6,0.91421856639247945,0.91892232154097953,0.92362568191355432,0.93491397398237519
7,0.91371495719321805,0.91804104242729445,0.92303818715904318,0.93545950482584972
8,0.91186839012925969,0.91627848419992441,0.921779269827948,0.93285774234158625
9,0.91253986906160822,0.91778924839481302,0.92135963071758287,0.9322282836760386
10,0.91220412959543395,0.91703386629736872,0.92060428031892572,0.93109525807805282
11,0.90935034413295279,0.91577489613496155,0.92211498111624002,0.93126311372219894
12,0.90968608359912706,0.91363464685886941,0.92001678556441457,0.93013008812421316
13,0.90750377706899443,0.91338285282638798,0.91859001258917328,0.92962652119177502
14,0.90951821386603993,0.91212388266398081,0.91791859001258913,0.92840956777171635
15,0.9073359073359073,0.91224977968022158,0.91724716743600498,0.92840956777171635
16,0.90649655867047174,0.91111670653405519,0.91624003357112882,0.92757028955098619
17,0.90448212187342625,0.91124260355029585,0.91565253881661768,0.92660511959714642
18,0.90313916400872918,0.90910235427420372,0.91489718841796053,0.92589173310952577
19,0.90347490347490345,0.90935414830668515,0.91523289970625266,0.92559798573227026
20,0.90213194561020649,0.90822107516051864,0.91321863197650022,0.92513638271086862
21,0.90280342454255502,0.90859876620924085,0.91271506504406208,0.92484263533361311
22,0.90095685747859666,0.90595492886818585,0.91162400335711291,0.92425514057910196
23,0.90112472721168368,0.90595492886818585,0.91112043642467477,0.92379353755770033
24,0.89692798388450568,0.90482185572201934,0.91044901384809063,0.92278640369282416
25,0.89659224441833141,0.90394057660833438,0.91103650860260177,0.92303818715904318
26,0.89558502601980861,0.90280750346216798,0.9100293747377256,0.9217373059169115
27,0.89524928655363434,0.90255570942968655,0.91061686949223664,0.92161141418380188
28,0.89357058922276311,0.90142263628352004,0.90944187998321446,0.92114981116240036
29,0.89323484975658884,0.90117084225103861,0.90994544691565249,0.92043642467477971
30,0.89239550109115329,0.89953418103990934,0.90935795216114146,0.91959714645404955
31,0.89105254322645622,0.89915648999118725,0.90860260176248431,0.91951321863197655
32,0.88903810642941072,0.89726803474757644,0.90776332354175404,0.91863197650020978
33,0.8883666274970623,0.89676444668261357,0.90793117918590016,0.91783466219051613
34,0.88685579989927821,0.89626085861765081,0.90700797314309689,0.91691145614771297
35,0.88584858150075541,0.89462419740652144,0.90667226185480487,0.91699538396978597
36,0.88584858150075541,0.89386881530907714,0.90608476710029373,0.91632396139320182
37,0.88601645123384254,0.89374291829283647,0.90541334452370958,0.91577843054972718
38,0.885344972301494,0.89147677200050357,0.90440621065883342,0.91464540495174151
39,0.88551284203458114,0.89147677200050357,0.90449013848090642,0.91489718841796053
40,0.88400201443679705,0.89046959587057783,0.90297943768359212,0.91414183801930338
41,0.88265905657210009,0.89046959587057783,0.90239194292908098,0.9143936214855225
42,0.88349840523753564,0.88921062570817067,0.90230801510700798,0.91359630717582874
43,0.88215544737283869,0.88908472869193,0.90088124213176668,0.91405791019723037
44,0.88265905657210009,0.88795165554576361,0.90037767519932854,0.91376416281997486
45,0.88081248950814173,0.88719627344831931,0.8997062526227444,0.91372219890893835
46,0.88114822897431588,0.88732217046455997,0.89878304657994124,0.91300881242131771
47,0.88081248950814173,0.8860632003021528,0.89844733529164922,0.91254720939991607
48,0.88014101057579319,0.88631499433463423,0.89693663449433492,0.91242131766680656
49,0.87963740137653179,0.88593730328591214,0.89735627360469994,0.91258917331095257
50,0.87913379217727039,0.88467833312350497,0.89634913973982377,0.91233738984473356
51,0.87795870404566057,0.88392295102606067,0.89634913973982377,0.91271506504406208
52,0.87678361591405074,0.8841747450585421,0.89576164498531263,0.91195971464540493
53,0.87644787644787647,0.88291577489613493,0.89509022240872849,0.9114981116240034
54,0.87527278831626654,0.88102731965252423,0.89492236676458248,0.91116240033571128
55,0.87460130938391811,0.88102731965252423,0.89467058329836335,0.91103650860260177
56,0.87376196071848244,0.8800201435225985,0.89324381032312217,0.90952580780528747
57,0.87342622125230818,0.88064962860380214,0.89357952161141418,0.90977759127150648
58,0.87292261205304689,0.87939065844139497,0.89190096516995387,0.90889634913973982
59,0.87174752392143695,0.8792647614251542,0.89223667645824589,0.90914813260595884
60,0.87107604498908842,0.8788870703764321,0.89131347041544273,0.90881242131766682
61,0.87124391472217555,0.87825758529522846,0.89064204783885859,0.90906420478388583
62,0.87107604498908842,0.87787989424650636,0.89013848090642045,0.90780528745279065
63,0.87023669632365286,0.87674682110033997,0.89039026437263957,0.90784725136382716
64,0.86872586872586877,0.87674682110033997,0.88904741921947128,0.90713386487620651
65,0.86822225952660737,0.87586554198665489,0.88879563575325216,0.90692404532102389
66,0.8688937384589559,0.87523605690545137,0.887872429710449,0.90663029794376837
67,0.86771865032734596,0.87498426287296993,0.887956357532522,0.90633655056651274
68,0.86687930166191041,0.8747324688404885,0.88736886277801086,0.90562316407889221
69,0.86620782272956187,0.87359939569432199,0.88728493495593785,0.90616869492236674
70,0.86520060433103907,0.87309580762935923,0.8864456567352077,0.90574905581200171
71,0.86436125566560351,0.87234042553191493,0.88627780109106169,0.90595887536718422
72,0.86352190700016784,0.87082966133702633,0.88669744020142682,0.90528745279060008
73,0.86251468860164515,0.87082966133702633,0.88627780109106169,0.90465799412505243
74,0.86184320966929662,0.87057786730454489,0.88610994544691568,0.90432228283676042
75,0.86050025180459966,0.86994838222334125,0.8850188837599664,0.90449013848090642
76,0.86066812153768679,0.87057786730454489,0.88434746118338226,0.9041544271926143
77,0.85966090313916399,0.8694447941583785,0.88417960553923625,0.90419639110365091
