N,S,M,L,XL
1,0.036,0.038,0.06,0.139
2,0.029,0.039,0.059,0.136
3,0.03,0.038,0.058,0.139
4,0.026,0.038,0.058,0.14
5,0.027,0.04,0.059,0.139
6,0.027,0.039,0.058,0.14
7,0.027,0.043,0.058,0.141
8,0.027,0.037,0.058,0.137
9,0.027,0.039,0.058,0.141
10,0.028,0.037,0.058,0.137
11,0.027,0.037,0.059,0.136
12,0.027,0.037,0.059,0.135
13,0.028,0.037,0.059,0.139
14,0.027,0.037,0.059,0.137
15,0.027,0.038,0.06,0.138
16,0.028,0.037,0.058,0.135
17,0.027,0.039,0.059,0.137
18,0.027,0.037,0.06,0.136
19,0.027,0.04,0.06,0.135
20,0.026,0.037,0.063,0.136
21,0.026,0.037,0.06,0.135
22,0.028,0.037,0.06,0.135
23,0.028,0.037,0.059,0.136
24,0.027,0.037,0.061,0.137
25,0.027,0.037,0.058,0.137
26,0.027,0.037,0.059,0.138
27,0.027,0.039,0.059,0.138
28,0.027,0.037,0.059,0.135
29,0.027,0.037,0.059,0.137
30,0.026,0.037,0.059,0.136
31,0.027,0.037,0.058,0.138
32,0.027,0.037,0.059,0.135
33,0.027,0.038,0.059,0.135
34,0.026,0.037,0.059,0.136
35,0.026,0.037,0.059,0.141
36,0.027,0.037,0.059,0.138
37,0.027,0.037,0.059,0.138
38,0.027,0.037,0.059,0.138
39,0.027,0.037,0.06,0.14
40,0.027,0.037,0.06,0.138
41,0.027,0.037,0.059,0.138
42,0.027,0.037,0.059,0.14
43,0.027,0.038,0.06,0.138
44,0.027,0.037,0.059,0.137
45,0.027,0.037,0.058,0.138
46,0.027,0.04,0.058,0.141
47,0.027,0.037,0.06,0.139
48,0.027,0.04,0.058,0.138
49,0.027,0.039,0.059,0.137
50,0.026,0.037,0.059,0.138
51,0.027,0.037,0.059,0.139
52,0.027,0.039,0.06,0.137
53,0.026,0.038,0.059,0.14
54,0.031,0.037,0.06,0.14
55,0.027,0.037,0.059,0.139
56,0.028,0.037,0.058,0.138
57,0.027,0.037,0.071,0.138
58,0.026,0.037,0.065,0.141
59,0.027,0.037,0.059,0.138
60,0.028,0.038,0.062,0.142
61,0.027,0.037,0.061,0.138
62,0.026,0.037,0.058,0.139
63,0.027,0.037,0.066,0.139
64,0.028,0.037,0.06,0.138
65,0.028,0.037,0.058,0.14
66,0.04,0.038,0.06,0.14
67,0.028,0.037,0.061,0.138
68,0.027,0.037,0.058,0.138
69,0.028,0.037,0.061,0.136
70,0.029,0.037,0.06,0.136
71,0.027,0.039,0.058,0.136
72,0.028,0.038,0.06,0.136
73,0.029,0.037,0.058,0.142
74,0.028,0.037,0.062,0.136
75,0.028,0.037,0.058,0.14
76,0.031,0.037,0.059,0.135
77,0.03,0.037,0.059,0.136
78,0.03,0.037,0.06,0.137
79,0.033,0.037,0.061,0.136
80,0.027,0.037,0.061,0.134
81,0.027,0.037,0.06,0.135
82,0.03,0.037,0.06,0.138
83,0.027,0.037,0.061,0.138
84,0.028,0.037,0.059,0.135
85,0.028,0.036,0.062,0.138
86,0.029,0.037,0.061,0.14
87,0.029,0.04,0.06,0.138
88,0.026,0.037,0.06,0.138
89,0.027,0.039,0.06,0.137
90,0.026,0.037,0.061,0.14
91,0.027,0.038,0.06,0.138
92,0.027,0.038,0.061,0.135
93,0.027,0.037,0.06,0.139
94,0.03,0.037,0.06,0.137
95,0.027,0.038,0.06,0.138
96,0.026,0.037,0.061,0.138
97,0.027,0.037,0.06,0.138
98,0.027,0.037,0.06,0.138
99,0.027,0.037,0.061,0.138
100,0.027,0.038,0.061,0.139
101,0.028,0.037,0.059,0.138
102,0.026,0.037,0.059,0.138
103,0.029,0.037,0.06,0.138
104,0.026,0.037,0.06,0.138
105,0.027,0.038,0.06,0.144
106,0.026,0.04,0.061,0.135
107,0.027,0.042,0.062,0.136
108,0.031,0.039,0.061,0.137
109,0.028,0.038,0.06,0.137
110,0.029,0.039,0.06,0.136
111,0.028,0.038,0.061,0.138
112,0.029,0.036,0.06,0.138
113,0.026,0.039,0.06,0.139
114,0.027,0.037,0.06,0.138
115,0.027,0.04,0.063,0.137
116,0.029,0.039,0.06,0.137
117,0.028,0.039,0.061,0.136
118,0.028,0.037,0.06,0.138
119,0.027,0.037,0.061,0.138
120,0.026,0.038,0.061,0.138
121,0.027,0.038,0.063,0.138
122,0.027,0.039,0.062,0.149
123,0.027,0.038,0.06,0.137
124,0.027,0.038,0.061,0.139
125,0.027,0.039,0.06,0.137
126,0.027,0.041,0.06,0.137
127,0.027,0.041,0.06,0.14
128,0.027,0.038,0.065,0.135
129,0.029,0.038,0.063,0.136
130,0.026,0.038,0.06,0.14
131,0.028,0.038,0.06,0.14
132,0.031,0.04,0.06,0.138
133,0.028,0.038,0.064,0.136
134,0.027,0.038,0.063,0.139
135,0.027,0.038,0.062,0.136
136,0.029,0.038,0.061,0.135
137,0.028,0.038,0.06,0.135
138,0.029,0.038,0.063,0.135
139,0.03,0.039,0.06,0.139
140,0.031,0.041,0.058,0.138
141,0.029,0.038,0.06,0.138
142,0.029,0.038,0.061,0.139
143,0.029,0.04,0.068,0.138
144,0.027,0.038,0.067,0.137
145,0.027,0.038,0.067,0.135
146,0.027,0.04,0.065,0.136
147,0.027,0.038,0.066,0.137
148,0.028,0.045,0.07,0.14
149,0.028,0.038,0.066,0.138
150,0.029,0.038,0.073,0.137
151,0.029,0.038,0.069,0.138
152,0.029,0.04,0.068,0.14
153,0.028,0.038,0.073,0.159
154,0.029,0.044,0.066,0.136
155,0.029,0.039,0.061,0.136
156,0.029,0.039,0.06,0.137
157,0.029,0.039,0.062,0.136
158,0.029,0.038,0.061,0.136
159,0.029,0.04,0.062,0.14
160,0.029,0.04,0.06,0.137
161,0.027,0.039,0.06,0.137
162,0.026,0.038,0.061,0.136
163,0.027,0.038,0.061,0.138
164,0.027,0.038,0.058,0.137
165,0.027,0.038,0.059,0.137
166,0.029,0.038,0.058,0.135
167,0.031,0.038,0.06,0.138
168,0.03,0.038,0.059,0.136
169,0.028,0.038,0.058,0.137
170,0.029,0.038,0.058,0.137
171,0.029,0.039,0.062,0.139
172,0.027,0.038,0.064,0.137
173,0.027,0.038,0.065,0.136
174,0.028,0.039,0.063,0.137
175,0.027,0.038,0.06,0.135
176,0.027,0.038,0.06,0.136
177,0.027,0.038,0.061,0.136
178,0.029,0.038,0.059,0.136
179,0.029,0.038,0.064,0.138
180,0.027,0.038,0.06,0.136
181,0.03,0.039,0.062,0.136
182,0.027,0.039,0.06,0.136
183,0.027,0.038,0.059,0.139
184,0.029,0.038,0.064,0.136
185,0.029,0.038,0.059,0.136
186,0.031,0.038,0.064,0.136
187,0.03,0.038,0.061,0.139
188,0.029,0.037,0.06,0.136
189,0.029,0.039,0.061,0.135
190,0.028,0.038,0.06,0.138
191,0.028,0.038,0.06,0.136
192,0.029,0.038,0.06,0.139
193,0.028,0.038,0.058,0.138
194,0.029,0.038,0.058,0.135
195,0.028,0.039,0.061,0.135
196,0.029,0.038,0.06,0.135
197,0.028,0.039,0.062,0.135
198,0.031,0.038,0.058,0.136
199,0.028,0.038,0.058,0.137
