N,S,M,L,XL
1,0.011,0.016,0.027,0.073
2,0.01,0.016,0.027,0.073
3,0.01,0.016,0.027,0.074
4,0.011,0.017,0.027,0.073
5,0.01,0.016,0.026,0.075
6,0.01,0.016,0.027,0.073
7,0.01,0.016,0.027,0.073
8,0.01,0.017,0.027,0.072
9,0.01,0.016,0.026,0.072
10,0.01,0.016,0.027,0.074
11,0.01,0.016,0.027,0.073
12,0.01,0.017,0.027,0.073
13,0.01,0.016,0.026,0.073
14,0.01,0.016,0.026,0.072
15,0.01,0.016,0.027,0.073
16,0.01,0.017,0.027,0.073
17,0.01,0.016,0.026,0.072
18,0.01,0.016,0.026,0.072
19,0.01,0.016,0.026,0.072
20,0.01,0.016,0.026,0.075
21,0.01,0.016,0.026,0.072
22,0.01,0.016,0.026,0.072
23,0.011,0.016,0.026,0.073
24,0.01,0.016,0.026,0.072
25,0.01,0.016,0.026,0.074
26,0.01,0.017,0.027,0.076
27,0.01,0.016,0.027,0.074
28,0.01,0.016,0.027,0.074
29,0.01,0.016,0.026,0.073
30,0.01,0.016,0.026,0.073
31,0.01,0.017,0.026,0.072
32,0.01,0.016,0.026,0.072
33,0.011,0.016,0.026,0.072
34,0.011,0.016,0.026,0.073
35,0.01,0.016,0.026,0.074
36,0.01,0.016,0.027,0.073
37,0.011,0.016,0.027,0.075
38,0.01,0.017,0.027,0.074
39,0.01,0.016,0.026,0.074
40,0.01,0.016,0.026,0.074
41,0.01,0.016,0.026,0.071
42,0.01,0.016,0.026,0.08
43,0.011,0.016,0.026,0.075
44,0.01,0.016,0.026,0.073
45,0.01,0.016,0.026,0.074
46,0.01,0.016,0.026,0.075
47,0.01,0.017,0.026,0.074
48,0.01,0.017,0.027,0.075
49,0.01,0.016,0.026,0.074
50,0.01,0.016,0.026,0.075
51,0.01,0.016,0.027,0.074
52,0.011,0.016,0.027,0.073
53,0.011,0.016,0.026,0.075
54,0.01,0.016,0.027,0.073
55,0.01,0.016,0.026,0.073
56,0.011,0.016,0.026,0.077
57,0.01,0.016,0.026,0.077
58,0.01,0.016,0.027,0.074
59,0.01,0.016,0.026,0.074
60,0.01,0.016,0.026,0.073
61,0.01,0.016,0.026,0.072
62,0.01,0.016,0.026,0.074
63,0.01,0.016,0.026,0.074
64,0.01,0.016,0.027,0.072
65,0.01,0.016,0.027,0.073
66,0.01,0.016,0.027,0.074
67,0.01,0.016,0.027,0.076
68,0.01,0.017,0.026,0.073
69,0.01,0.016,0.026,0.073
70,0.01,0.016,0.027,0.074
71,0.01,0.016,0.027,0.073
72,0.01,0.017,0.026,0.073
73,0.011,0.016,0.027,0.074
74,0.01,0.016,0.026,0.072
