N,S,M,L,XL
3.0517578125e-05,0.87141178445526268,0.88316756892861636,0.89517415023080149,0.91242131766680656
0.0001220703125,0.90045324827933526,0.90822107516051864,0.91414183801930338,0.92752832563994969
0.00048828125,0.90767164680208157,0.91753745436233158,0.92496852706672261,0.93579521611414185
0.001953125,0.91556152425717641,0.92257333501196026,0.92706672261854806,0.93692824171212752
0.0078125,0.90397851267416485,0.90910235427420372,0.91414183801930338,0.92819974821653373
0.03125,0.85546415981198587,0.86957069117461916,0.89441879983214434,0.91019723038187161
0.125,0.7752224273963404,0.79755759788493008,0.81888375996642893,0.85434326479227862
0.5,0.63740137653181128,0.6608334382475135,0.69576164498531268,0.75102811582039442
2,0.54557663253315425,0.55923454614125645,0.57725556021821234,0.60935795216114141
8,0.49101896927983885,0.50560241722271182,0.5236256819135543,0.55497272345782622
