N,S,M,L,XL
3.0517578125e-05,0.18146718146718147,0.18343195266272189,0.18497691984892992,0.18560637851447756
0.0001220703125,0.18197079066644284,0.18431323177640691,0.18455728073856484,0.21368023499790181
0.00048828125,0.19422528118180293,0.21981619035628855,0.21728913134704153,0.21451951321863197
0.001953125,0.21755917408091321,0.22157874858365856,0.21972303818715905,0.21938732689886697
0.0078125,0.23031727379553465,0.2301397456880272,0.23583718002517834,0.35715484683172471
0.03125,0.39113647809299984,0.39116202945990181,0.40763743180864459,0.46315568610994545
0.125,0.47339264730569081,0.48684376180284528,0.5029794376835921,0.54439781787662611
0.5,0.57377874769179116,0.57572705526879009,0.58590012589173313,0.61775073436844319
2,0.70622796709753233,0.7059045700616895,0.72589173310952582,0.79068401174989511
8,0.83850931677018636,0.83847412816316258,0.85169953839697865,0.86596726814939151
